language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL24344454W,Comme un empire dans un empire,Alice Zeniter,1.0000,2020,/books/OL32230569M,Comme un empire dans un empire,,fre,1.0000,9782081515437,FLAMMARION,"Aug 19, 2020",,10867380,VALID_COVER,330,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL32230569M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL22957209W,Juste avant l'Oubli,Alice Zeniter,1.0000,2015,/books/OL45447286M,Juste avant l'Oubli,,fre,1.0000,9782290126486,J'ai lu,2016,,13133114,VALID_COVER,309,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL45447286M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL16803216W,"Aspirine, mots de tete",Amélie Nothomb,1.0000,2001,/books/OL25426043M,"Aspirine, mots de tete",,fre,1.0000,9782845620322,La Passe du Vent,2001,,7255792,VALID_COVER,300,300,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL25426043M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL1724581W,Attentat,Amélie Nothomb,1.0000,1997,/books/OL308555M,Attentat,roman,fre,1.0000,2226093745,A. Michel,1997,,11591700,VALID_COVER,320,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL308555M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL16803217W,Barbe Bleue,Amélie Nothomb,1.0000,2012,/books/OL31487868M,Barbe Bleue,,fre,1.0000,9782253194149,Librairie generale francaise,"Dec 03, 2014",,10524366,VALID_COVER,309,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL31487868M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL8996667W,Ca ou l'histoire de la pomme,Amélie Nothomb,1.0000,2002,/books/OL12633158M,Ca ou l'histoire de la pomme,,fre,1.0000,9782859408725,Phébus,"December 29, 2002",,3148580,VALID_COVER,320,475,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL12633158M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL8387049W,Cosmetique De L'ennemi,Amélie Nothomb,1.0000,2001,/books/OL32983249M,Cosmétique de l'ennemi,,fre,1.0000,9782744153716,Éd. France loisirs,2002,,11610955,VALID_COVER,316,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL32983249M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL8885904M,Gainsbourg illustré,Serge Gainsbourg | Yves Got | Amélie Nothomb,1.0000,2001,/books/OL8885904M,Gainsbourg illustré,La Beauté cachée,fre,1.0000,9782226117939,Albin Michel,"March 1, 2001",,975668,VALID_COVER,313,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL8885904M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL16803215W,L'entrée du christ à Bruxelles,Amélie Nothomb,1.0000,2004,/books/OL25426042M,L'entrée du christ à Bruxelles,,fre,1.0000,,Albin Michel,2004,,7255791,VALID_COVER,300,300,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL25426042M.jpeg,NO,NO,161.0000,194.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL16815486W,La nostalgie heureuse,Amélie Nothomb,1.0000,2013,/books/OL25441640M,La nostalgie heureuse,,fre,1.0000,9782226249685,Albin Michel,2013,,7275830,VALID_COVER,325,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL25441640M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL17267256W,Le crime du comte Neville,Amélie Nothomb,1.0000,2015,/books/OL25840268M,Le crime du comte Neville,,fre,1.0000,9782226318091,ALBIN MICHEL,2015,,14854391,VALID_COVER,312,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL25840268M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL8985046W,Le fait du prince,Amélie Nothomb,1.0000,2008,/books/OL31833238M,Le fait du prince,,fre,1.0000,9782298020267,France Loisirs,"Dec 28, 2009",,15206192,VALID_COVER,307,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL31833238M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL34897145W,Le Japon d'Amelie Nothomb,Amélie Nothomb,1.0000,2016,/books/OL47253855M,Le Japon d'Amelie Nothomb,,fre,1.0000,9782253189572,French and European Publications Inc,"Apr 30, 2016",,13701845,VALID_COVER,337,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL47253855M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL16803214W,Le mystère par exellence,Amélie Nothomb,1.0000,1999,/books/OL25426041M,Le mystère par exellence,,fre,1.0000,9782702835593,Albin Michel,1999,,15206612,VALID_COVER,344,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL25426041M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL16490833W,Le voyage d'hiver,Amélie Nothomb,1.0000,2009,/books/OL47407772M,Le Voyage d'Hiver,,fre,1.0000,9782253160151,Livre de Poche,"May 04, 2011",,14006402,VALID_COVER,307,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL47407772M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
FR,CONTEMPORARY,Amélie Nothomb,1,24,34,/works/OL1724586W,Mercure,Amélie Nothomb,1.0000,1998,/books/OL499398M,Mercure,roman,fre,1.0000,2226104992,A. Michel,1998,,975572,VALID_COVER,324,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL499398M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,FR_FAST_V2_ADAPTIVE_SELECTION
